Title,Genre,Rating/Score
SEVEN VEILS,Mystery & thriller,77
MICKEY 17,Sci-fi,76
MICKEY 17,Comedy,76
MICKEY 17,Drama,76
MICKEY 17,Mystery & thriller,76
THE NEW BOY,Drama,76
THE NEW BOY,History,76
THE SHROUDS,Mystery & thriller,75
THE SHROUDS,Sci-fi,75
ARMAND,Drama,74
ARMAND,Mystery & thriller,74
CLOWN IN A CORNFIELD,Horror,73
CLOWN IN A CORNFIELD,Mystery & thriller,73
MOUNTAINHEAD,Comedy,74
MOUNTAINHEAD,Drama,74
QUEEN OF THE RING,Biography,73
QUEEN OF THE RING,Drama,73
QUEEN OF THE RING,Sports,73
